server,os,os_version,kernel,arch,uptime,patchlevel
artemis,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,25d 4h 18m
blcflin03,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,25d 4h 11m
bllina350rpm01,Ubuntu,18.04,04,4.15.0-206-generic,x86_64,37d 2h 32m
bllinalm01,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,23d 1h 41m
bllinalm02,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,23d 1h 41m
bllinalm04,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,23d 1h 41m
bllinalm05,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,23d 1h 42m
bllinalmqa01,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,27d 21h 4m
bllinalmqa02,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,27d 21h 4m
bllinalmqa03,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,27d 21h 4m
bllinalmqa04,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,27d 21h 5m
bllinalmqa05,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,27d 21h 5m
bllinapp37,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,25d 4h 18m
bllinapp38,RedHat,8.10,10,4.18.0-553.54.1.el8_10.x86_64,x86_64,36d 4h 38m
bllinapp40,RedHat,8.10,10,4.18.0-553.54.1.el8_10.x86_64,x86_64,23d 22h 28m
bllinapp42,RedHat,8.10,10,4.18.0-553.54.1.el8_10.x86_64,x86_64,88d 2h 17m
bllinapp45,RedHat,8.10,10,4.18.0-553.54.1.el8_10.x86_64,x86_64,88d 2h 18m
bllinapp46,RedHat,8.10,10,4.18.0-553.54.1.el8_10.x86_64,x86_64,88d 2h 18m
bllinapp47,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,25d 4h 18m
bllinapp48,RedHat,8.10,10,4.18.0-553.58.1.el8_10.x86_64,x86_64,37d 6h 51m
bllinapp50,RedHat,8.10,10,4.18.0-553.58.1.el8_10.x86_64,x86_64,37d 4h 10m
bllinapp55,RedHat,8.10,10,4.18.0-553.58.1.el8_10.x86_64,x86_64,23d 22h 4m
bllinapp56,RedHat,8.10,10,4.18.0-553.58.1.el8_10.x86_64,x86_64,37d 6h 51m
bllinapp57,RedHat,8.10,10,4.18.0-553.58.1.el8_10.x86_64,x86_64,36d 4h 42m
bllinapp58,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,25d 4h 18m
bllincdr03,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,25d 4h 18m
bllinelk01,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,25d 4h 16m
bllinelk02,RedHat,8.10,10,4.18.0-553.54.1.el8_10.x86_64,x86_64,88d 2h 12m
bllinelk03,RedHat,8.10,10,4.18.0-553.54.1.el8_10.x86_64,x86_64,88d 1h 50m
bllinelk04,RedHat,8.10,10,4.18.0-553.54.1.el8_10.x86_64,x86_64,88d 1h 28m
bllinelk05,RedHat,8.10,10,4.18.0-553.54.1.el8_10.x86_64,x86_64,87d 22h 48m
bllinsvn02,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,8d 2h 36m
bllinsvnqa01,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,25d 4h 18m
bllintestboot,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,2d 4h 21m
bllintestboot3,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,21d 22h 44m
blnis01,RedHat,8.10,10,4.18.0-553.58.1.el8_10.x86_64,x86_64,37d 6h 51m
buzet,CentOS,7.9,9,3.10.0-1160.118.1.el7.x86_64,x86_64,31d 3h 54m
cfrc10353ap007,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,25d 4h 18m
cfrc10353ap009,RedHat,8.10,10,4.18.0-553.58.1.el8_10.x86_64,x86_64,23d 20h 31m
cfrc10353ap010,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,23d 1h 41m
cfrc10353ap011,RedHat,8.10,10,4.18.0-553.58.1.el8_10.x86_64,x86_64,37d 6h 51m
cfrc10353ap012,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,6d 19h 41m
cfrc10353ap013,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,6d 19h 40m
cfrc10353ap014,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,6d 19h 40m
cfrc10353ap016,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,6d 19h 41m
cfrc10353ap017,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,6d 19h 40m
cfrc10353ap018,RedHat,8.10,10,4.18.0-553.58.1.el8_10.x86_64,x86_64,30d 22h 13m
cfrc10353ap022,RedHat,8.10,10,4.18.0-553.47.1.el8_10.x86_64,x86_64,135d 1h 54m
cfrc10353aq012,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,12d 23h 29m
cfrc10353aq013,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,12d 23h 28m
cfrc10353aq014,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,12d 23h 28m
cfrc10353aq016,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,12d 23h 28m
cfrc10353aq017,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,12d 23h 28m
cfrc10353dp003,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,6d 19h 42m
cfrc10353dq003,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,12d 23h 32m
fr7ulr7se01,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,25d 4h 18m
fr7ulr7se02,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,8d 22h 55m
pallas-new,RedHat,8.10,10,4.18.0-553.54.1.el8_10.x86_64,x86_64,37d 6h 46m
